#{"t_start": 1740679402.3794188, "env_id": "Pong-v4"}
r,l,t
-21.0,274,7005.897335
-21.0,273,7008.19349
-21.0,267,7010.448918
-20.0,297,7012.940061
-20.0,334,7015.674072
-21.0,278,7018.03253
-21.0,301,7020.55081
-20.0,336,7023.392703
-21.0,282,7025.72929
-21.0,294,7028.227995
-21.0,290,7030.747487
-20.0,306,7033.4278
-20.0,283,7035.813291
-21.0,296,7038.344555
-21.0,259,7040.561447
-20.0,288,7043.082563
-21.0,312,7045.786369
-21.0,306,7048.437536
-20.0,293,7050.920206
-20.0,275,7053.305683
-20.0,298,7055.806723
-20.0,324,7058.74904
-21.0,261,7060.888552
-20.0,303,7063.470641
-21.0,310,7066.071632
-19.0,361,7069.259671
-21.0,325,7071.95313
-21.0,320,7074.688968
-19.0,350,7077.571132
-21.0,277,7079.892579
-21.0,251,7082.050913
-21.0,355,7085.058243
-21.0,282,7087.348691
-20.0,368,7090.5165
-19.0,360,7093.522833
-20.0,271,7095.833094
-21.0,333,7098.738962
-21.0,267,7101.083821
-21.0,259,7103.354582
-19.0,326,7106.200146
-21.0,321,7108.935219
-20.0,310,7111.647552
-21.0,277,7114.03912
-21.0,259,7116.365817
-21.0,274,7118.649667
-21.0,296,7121.186709
-20.0,313,7123.777517
-19.0,379,7127.03707
-20.0,282,7129.56841
-20.0,282,7131.975655
-20.0,298,7134.49396
-18.0,403,7137.998058
-21.0,298,7140.569341
-21.0,277,7142.97707
-21.0,259,7145.112211
-20.0,340,7147.946741
-20.0,362,7150.955366
-19.0,379,7154.207664
-21.0,292,7156.560098
-21.0,336,7159.397633
-21.0,290,7161.831414
-21.0,272,7164.146864
-19.0,398,7167.768298
-21.0,268,7170.073567
-20.0,310,7172.621311
-20.0,353,7175.616789
-20.0,319,7178.451189
-20.0,341,7181.399078
-21.0,342,7184.321154
-21.0,319,7186.952768
-20.0,277,7189.370424
-21.0,312,7192.10392
-20.0,335,7195.030613
-21.0,292,7197.484524
-19.0,376,7200.666422
-20.0,350,7203.646459
-20.0,288,7206.249415
-21.0,260,7208.499153
-21.0,293,7211.019568
-21.0,277,7213.368003
-21.0,288,7215.936506
-21.0,300,7218.547533
-21.0,269,7221.031893
-21.0,292,7223.50683
-21.0,263,7225.766254
-19.0,327,7228.510563
-21.0,274,7230.914645
-21.0,286,7233.34818
-21.0,263,7235.588018
-21.0,273,7237.880462
-20.0,304,7240.440718
-21.0,272,7242.744255
-19.0,338,7245.615103
-20.0,381,7248.789949
-21.0,280,7251.270595
-20.0,271,7253.511256
-21.0,257,7255.718797
-20.0,375,7259.018011
-20.0,318,7261.907449
-18.0,377,7265.045815
-20.0,300,7267.659346
-21.0,311,7270.35466
-20.0,295,7272.919195
-21.0,259,7275.037478
-21.0,316,7277.721545
-20.0,292,7280.262872
-20.0,403,7283.757333
-21.0,258,7286.04914
-21.0,321,7288.884152
-21.0,254,7291.096354
-21.0,289,7293.654094
-21.0,269,7296.019839
-21.0,287,7298.538888
-21.0,296,7300.992859
-19.0,375,7304.219122
-19.0,324,7306.980707
-20.0,303,7309.640163
-18.0,397,7313.066264
-20.0,309,7315.69185
-21.0,286,7318.208706
-20.0,323,7321.013723
-21.0,297,7323.589088
-21.0,292,7325.992681
-21.0,280,7328.281894
-21.0,328,7331.062966
-21.0,277,7333.290967
-21.0,278,7335.68187
-20.0,310,7338.247074
-21.0,258,7340.434269
-20.0,273,7342.669581
-20.0,325,7345.394641
-21.0,274,7347.687134
-21.0,245,7350.034572
-21.0,318,7352.688176
-21.0,289,7355.105032
-19.0,314,7357.72074
-20.0,287,7360.149568
-20.0,348,7362.951501
-21.0,304,7365.596028
-20.0,380,7368.733143
-19.0,317,7371.395045
-20.0,300,7373.86441
-21.0,313,7376.513507
-21.0,272,7378.761164
-21.0,296,7381.335093
-21.0,268,7383.506686
-21.0,274,7385.801297
-20.0,273,7388.119172
-21.0,287,7390.495822
-21.0,249,7392.66748
-21.0,366,7395.66187
-21.0,269,7397.963149
-20.0,334,7400.694543
-20.0,284,7403.103501
-21.0,310,7405.678623
-21.0,289,7408.154774
-21.0,287,7410.528114
-21.0,284,7412.895566
-20.0,336,7415.706808
-20.0,295,7418.21653
-20.0,305,7420.774769
-21.0,259,7422.982898
-21.0,302,7425.490237
-20.0,282,7427.857285
-21.0,297,7430.414611
-19.0,353,7433.475349
-21.0,246,7435.582584
-20.0,301,7438.215056
-20.0,370,7441.312477
-21.0,295,7444.06299
-20.0,322,7446.739168
-20.0,296,7449.228033
-20.0,314,7451.853899
-20.0,305,7454.46477
-21.0,278,7456.7864
-21.0,282,7459.127958
-21.0,258,7461.313147
-20.0,313,7463.94702
-20.0,299,7466.432147
-21.0,283,7468.832299
-20.0,303,7471.335293
-21.0,264,7473.52795
-21.0,291,7475.998837
-20.0,288,7478.603208
-21.0,290,7481.091184
-21.0,261,7483.26254
-21.0,261,7485.57441
-21.0,268,7487.846848
-21.0,273,7490.31183
-21.0,330,7493.036663
-21.0,317,7495.856463
-20.0,302,7498.340905
-21.0,315,7501.147967
-21.0,249,7503.239185
-21.0,323,7506.004901
-20.0,341,7508.791689
-21.0,275,7511.121759
-21.0,249,7513.172273
-19.0,346,7516.133862
-19.0,374,7519.273457
-20.0,280,7521.678683
-21.0,333,7524.463928
-20.0,287,7526.890887
-21.0,268,7529.107685
-21.0,295,7531.879881
-19.0,338,7534.755355
-21.0,304,7537.354362
-21.0,338,7540.157454
-21.0,257,7542.365468
-20.0,317,7544.993897
-21.0,251,7547.190325
-21.0,300,7549.697927
-21.0,306,7552.281481
-21.0,291,7554.851092
-21.0,239,7556.907816
-19.0,319,7559.665853
-21.0,266,7561.880553
-21.0,275,7564.361084
-21.0,282,7566.759488
-20.0,274,7569.278253
-20.0,329,7572.020837
-20.0,344,7574.876105
-20.0,313,7577.543742
-21.0,311,7580.17862
-21.0,252,7582.350726
-20.0,355,7585.452562
-20.0,290,7587.926402
-21.0,285,7590.383659
-21.0,308,7593.05347
-21.0,352,7596.01724
-20.0,326,7599.045597
-21.0,275,7601.347327
-21.0,283,7603.668936
-21.0,289,7606.125475
-21.0,326,7608.870597
-21.0,264,7611.151224
-20.0,305,7613.858234
-21.0,297,7616.461265
-19.0,334,7619.24597
-20.0,318,7621.928366
-20.0,307,7624.484676
-20.0,351,7627.466565
-21.0,308,7630.053694
-20.0,333,7632.832201
-21.0,269,7635.026978
-21.0,278,7637.371482
-20.0,316,7639.973132
-20.0,294,7642.439875
-19.0,354,7645.349573
-21.0,268,7647.630695
-19.0,372,7650.844043
-21.0,294,7653.445524
-21.0,247,7655.595677
-21.0,255,7657.857068
-21.0,280,7660.254461
-21.0,272,7662.550985
-18.0,406,7666.105541
-20.0,289,7668.534887
-20.0,356,7671.614634
-21.0,306,7674.200348
-20.0,298,7676.662294
-21.0,270,7678.973199
-21.0,330,7681.659252
-20.0,281,7684.066538
-21.0,328,7686.758733
-21.0,288,7689.187327
-18.0,390,7692.444432
-21.0,269,7694.70484
-19.0,376,7697.860767
-18.0,351,7700.774638
-21.0,291,7703.241712
-20.0,303,7705.787971
-21.0,358,7708.947307
-21.0,317,7711.79859
-19.0,387,7715.379391
-21.0,269,7717.714302
-21.0,300,7720.429477
-20.0,272,7722.725429
-21.0,309,7725.362037
-21.0,290,7727.733322
-21.0,266,7730.035855
-21.0,258,7732.180427
-21.0,245,7734.241177
-21.0,298,7736.763127
-20.0,298,7739.248759
-21.0,263,7741.490572
-19.0,351,7744.366487
-20.0,310,7747.052771
-20.0,301,7749.613176
-21.0,256,7751.863993
-21.0,339,7754.735531
-21.0,278,7757.161391
-20.0,355,7760.112448
-21.0,318,7762.874789
-21.0,324,7765.569748
-20.0,275,7767.933954
-21.0,323,7770.613426
-21.0,292,7773.137452
-19.0,330,7775.880192
-21.0,297,7778.40925
-21.0,311,7780.998779
-21.0,269,7783.253587
-21.0,313,7785.843995
-21.0,314,7788.488855
-21.0,247,7790.529656
-19.0,322,7793.372781
-21.0,298,7795.971836
-20.0,307,7798.695584
-21.0,305,7801.287843
-20.0,314,7803.969596
-21.0,263,7806.220765
-21.0,324,7809.021118
-20.0,326,7811.703226
-20.0,280,7814.068633
-20.0,306,7816.581988
-20.0,288,7819.066145
-21.0,252,7821.205978
-21.0,285,7823.780187
-19.0,340,7826.634176
-19.0,332,7829.567127
-20.0,340,7832.418898
-21.0,276,7834.76793
-21.0,290,7837.137527
-21.0,315,7839.848924
-20.0,297,7842.256169
-21.0,289,7844.718047
-21.0,283,7847.047888
-19.0,303,7849.718037
-19.0,350,7852.692938
-21.0,267,7855.121962
-21.0,259,7857.35285
-20.0,304,7859.978051
-21.0,294,7862.600602
-20.0,317,7865.394437
-20.0,291,7867.788804
-20.0,347,7870.779585
-20.0,356,7873.729089
-20.0,274,7876.059718
-21.0,276,7878.357106
-20.0,344,7881.262597
-19.0,310,7883.816817
-21.0,278,7886.222201
-20.0,308,7888.734649
-21.0,249,7890.877572
-21.0,264,7893.040758
-21.0,273,7895.571155
-21.0,248,7897.760919
-21.0,267,7900.022726
-21.0,260,7902.22857
-20.0,306,7904.756288
-21.0,260,7907.06035
-21.0,272,7909.332584
-21.0,268,7911.804771
-21.0,264,7914.036813
-20.0,279,7916.451381
-17.0,355,7919.439902
-20.0,315,7922.238808
-20.0,363,7925.285736
-21.0,253,7927.435102
-19.0,328,7930.167381
-21.0,257,7932.376267
-21.0,351,7935.330104
-20.0,278,7937.691611
-21.0,298,7940.153499
-21.0,311,7942.813872
-21.0,257,7944.966551
-18.0,385,7948.279899
-20.0,297,7950.75515
-21.0,289,7953.382661
-20.0,312,7955.961394
-21.0,315,7958.674415
-18.0,402,7962.13518
-21.0,292,7964.7205
-20.0,307,7967.236105
-21.0,292,7969.732188
-21.0,287,7972.114015
-20.0,274,7974.47582
-20.0,288,7976.901622
-19.0,334,7979.716264
-21.0,249,7981.883657
-19.0,322,7984.66795
-21.0,300,7987.298863
-21.0,285,7989.71308
-19.0,355,7992.615955
-21.0,287,7995.115802
-19.0,391,7998.355942
-21.0,258,8000.549234
-21.0,290,8002.967509
-19.0,328,8005.737324
-20.0,277,8008.055545
-20.0,281,8010.453745
-21.0,308,8013.013012
-21.0,272,8015.355151
-19.0,335,8018.14877
-21.0,277,8020.506961
-20.0,342,8023.370901
-18.0,413,8026.940299
-21.0,350,8029.841022
-19.0,347,8032.76283
-20.0,303,8035.302022
-20.0,296,8037.772748
-21.0,307,8040.34207
-21.0,288,8042.778907
-20.0,351,8045.731699
-21.0,261,8047.895952
-21.0,315,8050.50948
-21.0,294,8052.986648
-21.0,251,8055.023529
-21.0,277,8057.422435
-21.0,318,8060.026487
-21.0,267,8062.296402
-21.0,262,8064.537488
-21.0,319,8067.446955
-20.0,296,8070.043627
-21.0,254,8072.254766
-21.0,271,8074.602117
-20.0,316,8077.417126
-21.0,309,8080.442821
-21.0,292,8082.959196
-21.0,261,8085.203838
-21.0,307,8087.7626
-21.0,257,8090.007341
-21.0,313,8092.698656
-21.0,308,8095.383528
-21.0,306,8097.965346
-21.0,267,8100.292169
-20.0,327,8103.075373
-19.0,336,8106.088715
-21.0,252,8108.176925
-21.0,303,8110.722226
-20.0,298,8113.236772
-21.0,319,8115.935837
-21.0,286,8118.339419
-21.0,340,8121.466322
-20.0,288,8123.898317
-21.0,299,8126.484551
-20.0,340,8129.334676
-20.0,293,8131.829097
-20.0,312,8134.473217
-21.0,268,8136.696965
-21.0,258,8138.891068
-21.0,280,8141.245882
-20.0,398,8144.730613
-21.0,278,8147.047849
-21.0,339,8149.953846
-20.0,309,8152.597713
-18.0,371,8155.65783
-20.0,316,8158.291497
-21.0,278,8160.616057
-19.0,346,8163.572865
-20.0,320,8166.210732
-21.0,274,8168.571485
-20.0,302,8171.058772
-21.0,283,8173.545739
-21.0,257,8175.681786
-21.0,295,8178.259046
-20.0,307,8180.967777
-20.0,305,8183.535684
-21.0,263,8185.803556
-19.0,302,8188.447345
-20.0,305,8191.290939
-21.0,310,8193.982295
-21.0,346,8196.842521
-20.0,293,8199.441451
-21.0,276,8201.71484
-20.0,306,8204.339059
-21.0,314,8207.036849
-21.0,296,8209.55504
-19.0,347,8212.487728
-20.0,286,8214.934056
-21.0,277,8217.30159
-21.0,295,8219.761564
-21.0,255,8221.891801
-19.0,360,8224.959631
-21.0,280,8227.292157
-19.0,337,8230.114812
-20.0,296,8232.644805
-21.0,308,8235.196057
-21.0,284,8237.756612
-21.0,314,8240.404492
-18.0,336,8243.438141
-21.0,305,8246.041837
-21.0,280,8248.461735
-20.0,328,8251.276842
-20.0,307,8254.018521
-21.0,299,8256.530183
-21.0,271,8258.823647
-21.0,269,8261.359212
-20.0,302,8264.020107
-21.0,266,8266.199175
-20.0,289,8268.694473
-20.0,297,8271.225315
-21.0,267,8273.516585
-21.0,332,8276.286739
-21.0,302,8278.846881
-20.0,321,8281.659421
-21.0,293,8284.262266
-21.0,283,8286.704013
-20.0,283,8289.171093
-21.0,332,8291.973595
-21.0,305,8294.656573
-21.0,270,8296.99689
-21.0,251,8299.134648
-21.0,294,8301.576934
-21.0,285,8304.000825
-21.0,273,8306.263103
-21.0,271,8308.568368
-21.0,274,8310.848791
-20.0,322,8313.603501
-20.0,337,8316.466982
-21.0,279,8318.829423
-20.0,313,8321.406593
-19.0,326,8324.146634
-21.0,266,8326.374272
-21.0,279,8328.703102
-21.0,252,8330.867475
-20.0,327,8333.546524
-21.0,244,8335.634521
-21.0,304,8338.151484
-20.0,274,8340.500767
-20.0,303,8342.995496
-21.0,280,8345.396886
-19.0,362,8348.406492
-19.0,306,8351.001727
-18.0,352,8353.92358
-20.0,276,8356.297864
-21.0,314,8358.970095
-20.0,277,8361.39651
-21.0,256,8363.572529
-20.0,348,8366.570508
-20.0,315,8369.308769
-20.0,302,8371.929151
-21.0,275,8374.535837
-20.0,321,8377.374051
-20.0,291,8379.899863
-21.0,306,8382.63968
-18.0,351,8385.565811
-21.0,313,8388.240931
-20.0,304,8390.842933
-19.0,325,8393.622059
-21.0,321,8396.528548
-21.0,257,8398.717759
-21.0,352,8401.703125
-21.0,308,8404.355963
-21.0,306,8407.039184
-20.0,298,8409.553739
-21.0,317,8412.221573
-18.0,325,8414.909003
-21.0,297,8417.459187
-21.0,303,8420.089689
-20.0,306,8422.713014
-21.0,304,8425.344086
-21.0,282,8427.802103
-21.0,303,8430.344146
-21.0,314,8433.032784
-21.0,279,8435.400102
-21.0,286,8437.824305
-21.0,258,8440.046791
-21.0,314,8442.809304
-19.0,353,8445.932305
-21.0,347,8448.857732
-20.0,309,8451.488745
-21.0,262,8453.64508
-21.0,278,8456.01786
-20.0,298,8458.51228
-21.0,292,8461.063613
-20.0,287,8463.47562
-19.0,350,8466.416178
-19.0,318,8469.060696
-20.0,314,8471.733326
-20.0,315,8474.359793
-21.0,282,8476.815717
-20.0,302,8479.30445
-21.0,298,8481.928176
-21.0,315,8484.579149
-20.0,333,8487.571148
-21.0,279,8490.070186
-21.0,344,8493.139246
-20.0,318,8495.936888
-21.0,268,8498.24588
-19.0,313,8500.910868
-20.0,319,8503.579359
-18.0,382,8506.822989
-21.0,349,8509.696842
-21.0,259,8511.943487
-21.0,272,8514.265189
-20.0,298,8516.819114
-20.0,285,8519.3728
-21.0,269,8521.720292
-20.0,288,8524.157905
-19.0,315,8526.924054
-21.0,253,8529.129646
-21.0,319,8531.817337
-21.0,311,8534.410998
-21.0,260,8536.593603
-21.0,301,8539.149932
-21.0,287,8541.543252
-21.0,267,8543.798051
-20.0,330,8546.547812
-19.0,315,8549.217063
-21.0,299,8551.699734
-20.0,318,8554.44148
-21.0,271,8556.690464
-21.0,297,8559.21836
-21.0,348,8562.071738
-21.0,254,8564.276607
-20.0,283,8566.744729
-19.0,397,8570.209581
-21.0,292,8572.674305
-21.0,245,8574.841133
-18.0,389,8578.072995
-21.0,308,8580.828505
-20.0,331,8583.62121
-21.0,249,8585.688001
-20.0,337,8588.477889
-21.0,267,8590.734024
-21.0,308,8593.294476
-20.0,285,8595.715207
-20.0,323,8598.434622
-20.0,357,8601.452137
-20.0,318,8604.072938
-19.0,350,8607.078247
-21.0,284,8609.428965
-21.0,347,8612.367563
-21.0,298,8614.803017
-20.0,318,8617.491972
-21.0,351,8620.461436
-21.0,278,8622.738715
-21.0,264,8625.151353
-19.0,349,8628.212818
-21.0,268,8630.429874
-20.0,315,8633.101945
-21.0,319,8635.873562
-20.0,276,8638.299314
-21.0,286,8640.710814
-21.0,328,8643.510948
-19.0,383,8646.845282
-20.0,321,8649.682399
-19.0,304,8652.311711
-19.0,367,8655.428684
-21.0,339,8658.379788
-19.0,326,8661.174889
-21.0,265,8663.648156
-20.0,323,8666.324086
-21.0,255,8668.487778
-20.0,319,8671.091059
-20.0,303,8673.881708
-21.0,274,8676.160501
-21.0,249,8678.316514
-21.0,260,8680.425346
-20.0,298,8682.941812
-21.0,311,8685.515597
-20.0,322,8688.289119
-20.0,314,8691.050342
-21.0,266,8693.364973
-20.0,282,8695.782874
-21.0,340,8698.712284
-21.0,305,8701.436141
-19.0,360,8704.506833
-20.0,307,8707.07228
-21.0,305,8709.66757
-21.0,257,8711.85377
-21.0,309,8714.462809
-21.0,295,8716.905996
-20.0,294,8719.517919
-18.0,354,8722.475847
-20.0,290,8725.146409
-20.0,322,8727.903317
-21.0,316,8730.678727
-21.0,263,8733.058813
-20.0,357,8736.111382
-20.0,330,8738.880377
-20.0,335,8741.767694
-21.0,284,8744.155262
-21.0,277,8746.565865
-21.0,256,8748.65933
-21.0,287,8751.131021
-21.0,295,8753.587496
-21.0,262,8756.010316
-21.0,358,8759.068808
-21.0,246,8761.252057
-21.0,284,8763.601203
-19.0,352,8766.770366
-21.0,277,8769.034467
-21.0,268,8771.329715
-20.0,311,8773.887191
-20.0,322,8776.643115
-20.0,276,8778.952955
-21.0,247,8781.007527
-21.0,336,8783.935928
-19.0,328,8786.831639
-21.0,270,8789.199219
-21.0,319,8792.211802
-21.0,268,8794.51874
-21.0,258,8796.808615
-18.0,368,8800.183909
-21.0,321,8803.053869
-21.0,270,8805.653775
-21.0,288,8808.892152
-20.0,326,8812.077799
-20.0,299,8815.054611
-21.0,285,8817.835725
-21.0,271,8820.466934
-21.0,273,8823.309807
-20.0,306,8826.288907
-21.0,265,8828.705781
-21.0,266,8830.950633
-21.0,285,8833.481214
-21.0,288,8836.12607
-21.0,277,8838.575985
-20.0,299,8841.3727
-21.0,275,8843.801565
-20.0,289,8846.408951
-21.0,281,8848.839447
-21.0,262,8851.215587
-20.0,390,8854.618478
-20.0,333,8857.760366
-20.0,307,8860.709867
-21.0,280,8863.112311
-21.0,299,8866.868332
-21.0,321,8870.217949
-21.0,299,8873.739972
-20.0,294,8876.936962
-19.0,332,8880.517796
-20.0,315,8883.692041
-21.0,285,8886.556277
-19.0,345,8890.010457
-20.0,296,8892.951545
-21.0,253,8895.474113
-21.0,250,8897.956059
-19.0,340,8901.439089
-21.0,309,8904.544821
-20.0,340,8907.955444
-21.0,256,8910.582027
-20.0,270,8913.27348
-21.0,274,8916.019193
-21.0,270,8918.747949
-19.0,323,8921.984104
-21.0,274,8924.715884
-19.0,369,8928.357118
-20.0,314,8931.505317
-20.0,311,8934.640454
-21.0,282,8937.460297
-21.0,319,8940.685157
-20.0,285,8943.55728
-21.0,327,8946.851572
-20.0,330,8950.156518
-21.0,274,8952.915549
-20.0,295,8955.877999
-20.0,333,8958.969432
-21.0,276,8961.531844
-20.0,306,8964.383712
-20.0,340,8967.546988
-20.0,335,8970.661609
-21.0,277,8973.239579
-21.0,252,8975.729549
-21.0,289,8978.418118
-21.0,256,8980.800775
-21.0,277,8983.413878
-21.0,296,8986.152734
-21.0,322,8989.174875
-21.0,333,8992.264983
-20.0,278,8994.839962
-21.0,271,8997.389602
-20.0,329,9000.432974
-20.0,278,9003.04105
-21.0,253,9005.405436
-21.0,307,9008.244121
-19.0,316,9011.232283
-21.0,282,9013.837807
-21.0,268,9016.344755
-21.0,283,9018.964916
-21.0,285,9022.108567
-21.0,315,9025.463118
-19.0,336,9028.637363
-17.0,436,9032.742197
-21.0,336,9035.861098
-21.0,271,9038.381894
-21.0,336,9041.713758
-18.0,412,9045.662394
-21.0,254,9048.009353
-19.0,302,9050.877957
-18.0,360,9054.230026
-21.0,243,9056.482738
-21.0,295,9059.221916
-20.0,356,9062.613627
-20.0,276,9065.183161
-21.0,270,9067.701378
-19.0,353,9070.989162
-21.0,303,9073.84186
-20.0,295,9076.624027
-21.0,292,9081.387807
-20.0,294,9084.43327
-21.0,270,9086.943915
-21.0,246,9089.246959
-20.0,350,9092.859602
-21.0,327,9095.761504
-20.0,306,9098.362351
-21.0,299,9100.94882
-21.0,266,9103.243236
-21.0,293,9105.697675
-21.0,254,9107.881261
-21.0,266,9110.160134
-21.0,305,9112.806606
-21.0,299,9115.311754
-21.0,296,9117.839379
-21.0,285,9120.287661
-21.0,251,9122.553302
-21.0,260,9124.757896
-20.0,274,9127.063546
-20.0,331,9129.899042
-21.0,269,9132.219151
-21.0,271,9134.624344
-21.0,257,9136.782856
-20.0,291,9139.360154
-21.0,268,9141.744194
-21.0,280,9144.223238
-21.0,291,9146.751779
-21.0,298,9149.348525
-21.0,276,9151.713633
-19.0,335,9154.588764
-20.0,320,9157.284045
-20.0,314,9160.018914
-20.0,295,9162.529963
-20.0,299,9165.139053
-19.0,346,9168.146076
-19.0,316,9170.926268
-21.0,356,9174.021468
-20.0,331,9176.865707
-20.0,270,9179.168094
-20.0,326,9182.064425
-21.0,271,9184.331702
-21.0,321,9187.080936
-21.0,316,9189.717512
-21.0,318,9192.552634
-20.0,286,9195.056772
-21.0,342,9198.008203
-20.0,297,9200.668568
-21.0,272,9203.004214
-21.0,280,9205.371489
-20.0,307,9208.071196
-19.0,330,9211.08135
-21.0,292,9213.72597
-20.0,274,9216.166702
-21.0,273,9218.486579
-21.0,292,9220.94998
-20.0,300,9223.486963
-21.0,326,9226.228981
-21.0,254,9228.425072
-19.0,333,9231.167572
-21.0,304,9233.775121
-20.0,290,9236.203152
-19.0,332,9239.116343
-21.0,309,9241.75535
-21.0,251,9243.945596
-21.0,307,9246.542166
-20.0,295,9249.064832
-20.0,316,9251.765921
-21.0,321,9254.561299
-21.0,298,9257.028622
-21.0,252,9259.259266
-20.0,302,9261.811711
-21.0,300,9264.620904
-21.0,270,9267.057332
-20.0,341,9270.054944
-20.0,321,9272.782136
-21.0,259,9275.11535
-20.0,396,9278.542355
-20.0,298,9281.114362
-20.0,350,9284.091457
-21.0,294,9286.533311
-20.0,288,9289.141291
-21.0,268,9291.483456
-19.0,336,9294.616716
-21.0,275,9297.006274
-21.0,265,9299.465017
-21.0,294,9302.071401
-20.0,316,9304.889054
-21.0,272,9307.149227
-21.0,265,9309.388262
-21.0,281,9311.79262
-20.0,314,9314.40517
-21.0,263,9316.647211
-21.0,269,9318.92286
-18.0,384,9322.248585
-21.0,261,9324.418877
-21.0,261,9326.659161
-20.0,340,9329.530693
-19.0,379,9332.775913
-21.0,294,9335.465162
-21.0,262,9337.696549
-21.0,280,9340.089135
-21.0,265,9342.42832
-21.0,255,9344.586654
-21.0,268,9346.941806
-21.0,287,9349.341475
-20.0,289,9351.847566
-20.0,310,9354.49126
-20.0,304,9357.123118
-21.0,247,9359.21925
-20.0,322,9362.039218
-21.0,288,9364.551838
-21.0,293,9367.107409
-20.0,331,9369.957308
-19.0,334,9372.798641
-20.0,324,9375.490119
-20.0,331,9378.312459
-20.0,292,9380.835415
-21.0,311,9383.620117
-20.0,356,9386.693372
-21.0,335,9389.64577
-21.0,311,9392.346882
-21.0,309,9394.994086
-21.0,289,9397.425221
-21.0,295,9400.020765
-21.0,310,9402.70869
-21.0,307,9405.363068
-21.0,322,9408.064978
-21.0,266,9410.324334
-21.0,257,9412.481064
-21.0,251,9414.665482
-21.0,293,9417.077203
-20.0,298,9419.682949
-20.0,313,9422.591568
-21.0,238,9424.791925
-21.0,290,9427.257936
-21.0,248,9429.420117
-21.0,290,9431.879937
-21.0,311,9434.586336
-21.0,294,9437.065492
-21.0,249,9439.231362
-19.0,417,9442.785658
-21.0,271,9445.185567
-20.0,301,9448.033328
-21.0,359,9451.252161
-21.0,266,9453.521533
-20.0,292,9456.057541
-20.0,333,9458.908913
-21.0,334,9461.777052
-21.0,337,9464.602738
-21.0,341,9467.504068
-20.0,333,9470.32602
-21.0,275,9472.768609
-20.0,326,9475.553243
-21.0,311,9478.245161
-20.0,309,9480.927762
-21.0,289,9483.370139
-21.0,287,9485.804262
-19.0,367,9488.956504
-21.0,274,9491.318773
-21.0,287,9493.778302
-21.0,304,9496.44616
-21.0,273,9498.719234
-21.0,298,9501.18415
-20.0,300,9503.75543
-21.0,286,9506.19255
-20.0,314,9508.915781
-20.0,293,9511.635793
-20.0,299,9514.394569
-19.0,382,9517.722574
-20.0,316,9520.341914
-21.0,292,9522.856512
-21.0,310,9525.440825
-21.0,335,9528.319179
-21.0,285,9530.703424
-21.0,334,9533.619403
-20.0,359,9536.692698
-20.0,349,9539.731594
-21.0,272,9542.025365
-21.0,269,9544.352426
-21.0,297,9546.839982
-20.0,288,9549.303526
-20.0,375,9552.552217
-19.0,340,9555.606351
-21.0,284,9558.036059
-21.0,298,9560.589171
-21.0,299,9563.178579
-21.0,277,9565.629241
-21.0,278,9568.092103
-19.0,346,9571.327377
-20.0,347,9574.528928
-21.0,297,9577.229048
-21.0,277,9579.688318
-21.0,328,9582.45317
-21.0,295,9585.019272
-21.0,245,9587.09304
-21.0,310,9589.748874
-21.0,320,9592.502644
-21.0,269,9594.732565
-21.0,288,9597.248211
-19.0,306,9599.861971
-18.0,329,9602.725076
-21.0,274,9605.099151
-21.0,248,9607.308958
-20.0,323,9610.10656
-21.0,335,9613.145139
-20.0,318,9615.885069
-19.0,333,9618.648016
-21.0,282,9621.132778
-21.0,309,9623.715748
-21.0,285,9626.209109
-21.0,288,9628.885758
-20.0,325,9631.882956
-20.0,278,9634.225806
-21.0,316,9636.991226
-21.0,319,9639.716619
-21.0,361,9642.833561
-21.0,301,9645.34647
-16.0,418,9648.874645
-21.0,310,9651.429644
-20.0,336,9654.340013
-20.0,315,9657.015059
-21.0,300,9659.562956
-21.0,295,9662.06993
-20.0,333,9664.953394
-21.0,252,9667.082078
-19.0,318,9669.893869
-20.0,297,9672.396666
-21.0,318,9675.112791
-21.0,274,9677.373838
-20.0,295,9679.929297
-21.0,267,9682.272985
-21.0,254,9684.50149
-21.0,245,9686.616285
-21.0,376,9689.856771
-21.0,332,9692.653579
-20.0,321,9695.396354
-20.0,293,9697.839873
-21.0,244,9700.066388
-21.0,286,9702.456933
-19.0,389,9705.79869
-21.0,264,9708.018976
-20.0,390,9711.312491
-20.0,270,9713.666494
-21.0,272,9716.057606
-21.0,332,9718.849972
-21.0,255,9721.065503
-21.0,301,9723.630325
-20.0,292,9726.203963
-21.0,280,9728.534325
-21.0,308,9731.217228
-21.0,273,9733.540345
-21.0,270,9735.843324
-19.0,312,9738.44013
-21.0,291,9740.95012
-21.0,274,9743.225898
-21.0,276,9745.642257
-21.0,321,9748.377851
-20.0,349,9751.36597
-20.0,314,9753.961239
-20.0,301,9756.596809
-21.0,273,9758.932827
-21.0,255,9761.118733
-20.0,382,9764.388494
-20.0,302,9767.029573
-21.0,287,9769.394046
-20.0,274,9771.701977
-21.0,282,9774.069698
-21.0,291,9776.507817
-21.0,292,9779.023348
-19.0,327,9781.858902
-21.0,327,9784.701834
-21.0,276,9787.087026
-20.0,303,9789.701966
-20.0,353,9792.708247
-19.0,323,9795.4426
-21.0,320,9798.219038
-21.0,294,9800.697849
-21.0,295,9803.263098
-20.0,348,9806.260294
-21.0,245,9808.376999
-21.0,278,9810.951165
-18.0,343,9814.196498
-21.0,293,9816.626461
